ID	Genotype	 1-Hexanal	E-beta-Ocimene	 3(Z)-Hexen-1-ol-acetate 	 Isohexanol	 1-Hexanol	 3(Z)-hexenyl-propanoate	 4(Z)-Hexenyl-butanoate	 2(E)-Hexenyl-butanoate	 n-Hexyl-butanoate	 Hexyl 2-methylbutanoate	 3(Z)-Hexenyl-butanoate	 3(Z)-hexenyl-valerate	 3(Z)-Hexenyl-isovalerate	  Linalooll	 alpha-Duprezianene	TAB	 beta-Elemene	 3(Z)-Hexenylcaproate	 4(E)-Hexenyl-hexanoate	 5-Hexenyl-hexanoate	 (E)-Hex-3-enyl(E)-2-methylbut-2-enoate	 alpha-Terpineol	 sesquiterpeneRT22.7	 sesquiterpeneRT22.8	 sesquiterpeneRT23.0	 3(Z)-Hexen-1-oltrifluoroacetate	 alpha-Farnesene	 sesquiterpeneRT23.8	 Sesquiphellandrene	 sesquiterpenoidRT24.2	Nicotine	 Benzyl-alcohol	 sesquiterpeneRT27.3
70A	70A	27442	115521	118949	73838	70745	315201	1516138	153815	59977	29864	1287630	1324552	131589	112370	194789	43505	3000	848732	454738	36163	795129	221062	3000	9147	3000	152684	8089	3000	3000	4356	24351626	2213437	636395
78B	78B	69191	1557515	199590	109020	94984	527123	2442922	109886	96532	69675	3943054	3883222	219872	91183	226622	115560	11660	2078328	634876	58522	1471374	921856	4484	21695	15323	404337	29876	13910	3000	4402	16229865	1056605	639422
107A	107A	68144	1618554	198271	138262	99959	580656	3060993	197275	150137	85316	5166540	4081427	233053	9791	267435	91331	4845	2717945	1195260	76020	1846591	1281949	3000	15648	8688	655052	129770	3000	3223	4460	9733376	1354676	772885
21B	21B	49054	135042	44352	31949	38113	129909	880115	91950	27836	19127	1067070	1035140	76994	10366	54620	20810	3000	380345	177820	24947	628926	173358	3000	3000	3000	119040	3745	3000	3000	4489	17362662	2348231	224422
138B	138B	53560	493643	91639	67760	80514	260933	1359926	120807	46747	35151	1248227	1274594	130141	82160	80338	36968	3000	1036543	630470	33912	1076675	507606	3000	3152	3000	302778	19369	3219	3000	4500	15257381	1421685	354816
31B	31B	32564	210760	68433	63474	38067	177579	830942	109660	42748	29949	1524105	1369915	168062	200213	208338	130983	3000	1866703	791862	52311	1736912	911892	3000	16271	9964	341239	8717	5887	5125	4528	43186612	802995	862059
88B	88B	200030	416326	84946	26605	33989	211603	1092137	100251	42208	25544	1036170	1056659	62080	81695	80120	25850	3000	684137	347170	21920	635596	253000	3000	3000	3000	183223	4218	3000	3000	4584	22309452	1847128	350744
89B	89B	29785	281740	50903	31500	36154	211517	966594	113448	66529	40982	1730778	1756748	82489	135811	134176	29749	3000	698271	472799	49882	1055635	449384	3000	7393	3658	272583	16681	3140	3000	4604	35145810	1358445	523762
145B	145B	33584	451076	70293	62934	52934	253144	1701654	200010	58102	55989	1201671	1693896	181536	10428	268608	20225	3000	2002104	891848	28439	1237648	361277	6028	31791	17202	234731	7618	3000	3000	4637	27460534	1172801	874551
82B	82B	32272	139673	56449	40648	44051	177621	900685	107150	29690	19302	804124	709457	44336	61458	132994	20363	3000	250913	150613	14592	239356	143519	3000	3000	3000	52284	5676	3000	3000	4637	8704592	2579155	429725
41A	41A	34682	437772	228000	173935	155664	762970	4594666	263609	191445	136235	6044322	7269158	377661	10712	227897	113660	6607	3895003	1784491	104650	3788040	799511	3000	19116	15519	849923	33601	9199	4253	4723	38615915	1761438	673353
134B	134B	27252	213175	50264	63804	51375	171498	1310513	107239	37565	24414	1504815	1455719	94097	50734	67222	19568	3000	975168	424911	31077	670670	261533	3000	3000	3000	183965	5844	3000	3000	4750	16611076	1947516	336497
Az4B	Az4B	42710	334471	99199	64603	52617	294793	1422237	106587	49407	27564	2130407	2026039	93351	80027	208172	42014	3000	1003524	518961	38358	885814	272503	3000	7037	3226	232603	24262	3000	3000	4752	13033763	1857315	635837
122B	122B	22514	1262593	195617	174176	88574	595738	2928248	158637	82611	52078	3380973	3185349	283471	182520	386579	169822	3576	2400359	872313	59896	1790085	1000545	4995	43114	32903	433654	82915	8817	4420	4786	11618600	1197292	1163384
135B	135B	25316	406861	52883	92801	44226	220226	1025909	76834	66858	35039	2113629	1572702	171960	10579	216388	41775	3000	1112811	1487420	62597	1710641	698037	3000	5518	3992	486982	11189	3000	3000	4817	13645231	1073970	1141860
41B	41B	58646	110545	205041	56008	54700	224877	1521425	63792	69651	29451	3182126	2077223	60122	7914	55816	34365	3000	590872	133369	41087	328298	104861	3000	3000	3000	186730	5214	3000	3000	4825	4237008	2417085	173459
86A	86A	48584	735083	281117	138951	115678	733037	2623491	209002	152583	96589	5168625	3625459	270152	10904	261441	83379	3000	1734381	871739	66945	1608158	644782	3000	8450	8680	358990	32274	3000	3464	4834	18597395	1666947	714957
96A	96A	65864	722146	411223	55343	85815	622536	2408991	109844	146242	62269	7303753	5066946	168939	8149	197323	62335	3000	1711456	495360	89848	1503914	356445	4399	14188	14818	683544	62829	3854	3854	4875	6955363	1439466	512202
