ID	Genotype	 1-Hexanal	E-beta-Ocimene	 3(Z)-Hexen-1-ol-acetate 	 Isohexanol	 1-Hexanol	 3(Z)-hexenyl-propanoate	 4(Z)-Hexenyl-butanoate	 2(E)-Hexenyl-butanoate	 n-Hexyl-butanoate	 Hexyl 2-methylbutanoate	 3(Z)-Hexenyl-butanoate	 3(Z)-hexenyl-valerate	 3(Z)-Hexenyl-isovalerate	  Linalooll	 alpha-Duprezianene	TAB	 beta-Elemene	 3(Z)-Hexenylcaproate	 4(E)-Hexenyl-hexanoate	 5-Hexenyl-hexanoate	 (E)-Hex-3-enyl(E)-2-methylbut-2-enoate	 alpha-Terpineol	 sesquiterpeneRT22.7	 sesquiterpeneRT22.8	 sesquiterpeneRT23.0	 3(Z)-Hexen-1-oltrifluoroacetate	 alpha-Farnesene	 sesquiterpeneRT23.8	 Sesquiphellandrene	 sesquiterpenoidRT24.2	Nicotine	 Benzyl-alcohol	 sesquiterpeneRT27.3
53A	53A	41115	14079	99406	37742	45932	171399	1014578	109352	29081	19705	660143	597706	47484	10523	147837	280221	3000	258937	144633	17357	397145	104671	3000	16367	10230	50365	3003	5850	5190	27426	11112524	2877816	424748
33B	33B	33394	15652	86951	190601	148251	308694	2604028	189788	103657	107382	1632490	2688994	402731	250123	727534	1549236	15039	3772646	1110457	39407	1846305	1227534	16261	98230	82826	276391	3000	18646	24649	27519	21839367	1086411	1982388
125A	125A	32197	12762	92518	106872	83485	297026	1973776	188990	56009	66204	1076470	2086019	298742	78861	300489	1066895	19683	2953681	896948	39416	1474073	544544	8490	49288	38412	219264	3000	21329	17213	27540	30938825	1644536	822864
14A	14A	60572	17790	193858	121687	150564	557511	3251973	167333	139182	69718	5260784	4771046	182559	17372	197321	751919	14009	1989170	524926	79905	1441805	522038	9176	57969	47945	508221	3000	24101	12001	28080	7622031	1715340	581545
40B	40B	50573	12509	194961	130638	82978	566093	1954722	92589	101227	60002	4580716	4127364	208504	16014	62953	2114603	76819	2117019	751966	76611	1722836	587936	35891	227081	296225	617342	3000	90389	24762	28596	11305279	1513367	280673
08B	08B	38752	11358	96829	85640	69565	232080	1692367	100795	67939	40000	2811283	2130644	187528	15785	131638	1791116	34950	2257911	497352	36059	1427968	583448	72627	613534	785702	331502	3000	49046	27517	28889	35797328	1613398	565444
120B	120B	35302	11742	168870	65236	58631	317167	1521605	117608	76260	39533	2819754	2277579	134492	14352	29181	1357353	30230	1441969	595130	41277	1078216	705947	18014	99328	85787	469651	6194	38160	20172	30621	32957278	1460420	181259
55B	55B	37243	14620	86171	100170	67793	234850	1852723	137502	47785	39578	1827816	2010042	116077	12221	203900	680487	5738	959525	397016	25669	644735	426991	7795	42986	42626	237947	3000	10860	8843	30661	8558416	2174054	582675
24A	24A	45234	16465	248723	166897	124873	827621	2985973	285396	216420	146146	5164752	4411509	442045	241694	222402	1316142	44165	3862457	1778181	109380	3351657	1913258	24565	204943	162764	837666	4354	53113	25228	30842	14045503	1324860	775806
142A	142A	55863	11004	37445	42221	51165	184194	1318466	140251	63200	59696	1122068	1445194	173302	82520	423717	720528	3000	1881377	647560	28360	1560511	250641	21341	33783	15898	172456	3000	6447	11715	30871	22067442	1464724	1175290
80B	80B	23725	11066	108436	38402	36631	243711	782097	62510	70921	35427	3012599	1901483	90644	14964	98574	1805725	67897	741896	365312	54174	1090703	406838	20649	130416	141937	337243	3000	77251	24667	31002	17883966	1215188	420333
88A	88A	33029	15145	510227	144522	159222	853663	3302671	149651	153160	59132	7219694	3963262	208855	9262	53508	424228	4455	2714943	839475	98444	1332062	326948	14027	18426	12829	747133	3477	5313	8841	31177	3566553	2311560	200613
67B	67B	44319	16545	89693	63939	56590	329594	1811418	123420	62211	37588	2731455	2759779	113255	110211	47549	749789	13212	1326826	318380	38465	835214	429737	4107	34064	28882	268587	3000	16370	9919	31207	12928640	2417489	226140
19A	19A	68271	14026	281300	123851	108041	759347	3576490	261231	130744	90442	4395201	4389309	183068	91034	527552	1824074	96288	1348382	565216	67891	1569076	519657	39260	259849	284619	356270	3000	114937	22825	31359	22036978	1313121	895870
26B	26B	90730	10764	72429	61019	49569	201710	890361	78199	80266	45807	2986471	2562003	137976	18796	150219	2780535	245093	1953125	677232	67570	1977164	982187	53779	348025	386230	434798	3000	253258	42934	31857	44069027	1073987	848503
46A	46A	42363	16868	66928	35828	40918	119854	737179	105473	33725	16705	958166	795614	52615	40855	72993	432132	4365	389805	178259	17862	438642	261470	3113	33973	25623	83840	3000	6024	10482	31970	5512041	2609805	298516
64A	64A	28003	8222	462848	71827	102906	690516	2820862	125867	256424	134825	11656235	10153468	298830	113754	307236	2074165	221874	4574170	1074688	201272	3481483	689088	69381	477815	619270	1698492	3000	236338	34393	32338	15425414	1409082	1049731
Ut2A	Ut2A	34136	11083	126773	94959	80176	415523	2855626	280688	147705	124160	3697695	4653654	276741	20076	333166	1682512	87779	3082295	1564254	76537	3098998	663208	36425	261457	277021	795548	3000	91430	29196	32381	27674792	1938690	1233207
98A	98A	50444	11001	215468	97897	139068	608131	3523702	176096	165947	116822	7066044	7222730	149417	75336	118410	921558	3000	1399059	423343	67678	1139432	232736	27458	235498	253112	501247	3000	13306	8962	32467	7329464	2451985	303161
63A	63A	44471	12959	157895	115574	99463	401380	2490431	135516	103113	65192	3269309	2990247	161159	96301	108802	1034668	35682	1129576	594088	57691	1184886	446465	12368	95606	84186	281729	3000	38948	15714	33011	8624750	2109824	378362
39A	39A	33136	10123	74924	88549	73458	180267	1308107	129708	71130	32381	2114800	1927457	145182	56528	182627	1044656	13009	1518387	673441	59521	1264759	311751	4474	24579	19905	251455	3000	16477	17667	33924	41995617	1697636	602187
52A	52A	66445	15556	80329	33167	44464	195626	1220822	170165	50184	32441	762835	809163	76434	72852	145946	303878	3000	466082	250084	19146	425083	244862	5318	9800	4440	70770	3000	3101	8240	34088	18830734	2669081	559928
Ut3B	Ut3B	57028	12966	109393	178752	167867	491803	2394839	219155	127034	124969	2897918	3857178	238488	22521	505788	2520991	137366	3071151	808874	51754	2527222	1074332	37780	222556	313909	362204	3000	143308	32978	35181	41228774	958595	1412183
54A	54A	31851	11829	55260	67277	55429	162929	1127875	120564	68733	39908	1601485	1411579	196394	92784	474961	1208431	4937	2112360	959525	55280	1721499	665847	6163	38486	29453	290075	5671	15499	22026	35743	27400910	1419225	1616064
24B	24B	28340	13950	213908	56569	69262	520546	2062202	132533	73727	36199	3483993	2709550	159293	15604	152163	1106412	3000	1414587	634974	57813	1364659	500720	7551	46695	53111	416637	3000	9214	11343	37045	13562148	1735645	566007
02B	02B	59635	12340	244473	60483	95302	296805	1973159	95777	95716	50391	4078536	3228340	94774	12558	179859	510788	3708	1228866	189128	47519	585971	93089	4522	20056	14362	231399	3844	9071	6135	38875	3101897	2560554	579138
02A	02A	42876	14727	227047	80665	93646	368953	2400636	206773	98016	48025	3506599	2773936	130603	13431	433807	1012223	16555	1187250	321403	47770	869161	247678	7655	44242	36465	265027	3000	21362	13678	39585	9346314	2012007	1231680
29A	29A	41651	14778	167374	167673	182142	591943	3015403	253251	280368	168666	6020133	5616072	537995	221374	622294	3696181	306344	7352543	3017903	130678	5099882	1829485	103694	683215	760495	1420558	3000	379442	69165	41354	4060933	1017841	1686098
44A	44A	37467	17642	139619	39646	74502	364686	1756863	170586	85730	58826	2065517	1683064	147124	85310	107810	727300	4221	930142	423551	42826	960167	558885	4687	29196	24356	236068	3000	8621	11655	43768	42861442	2911324	372650
04B	04B	29891	12914	198933	126619	119712	709010	3325616	218423	115357	60078	4287575	3751564	220161	136545	254522	1571815	3112	2037149	680923	62095	1400775	240324	10500	64415	65138	367876	3000	12518	18250	49599	21496307	1731407	757502
75A	75A	33057	15944	538386	221818	156394	830827	4918989	218852	173625	86001	5532538	4737618	252820	211758	611319	5158302	287447	3487572	832261	55001	2201297	697336	67404	421789	490895	407998	3000	322430	68632	50410	9897655	2149671	1144436
35B	35B	44461	16551	349534	149681	102132	760573	2891741	111019	128555	69922	5770407	3985773	262181	21020	370349	4321146	175225	2759937	851101	86589	2229821	634184	108548	824221	858063	898380	3000	192968	72996	50653	17168519	1271655	1100881
11B	11B	30884	14266	146118	67954	59193	325786	1395710	99701	83063	45985	3238256	2453948	241742	175938	194947	2703962	28379	2448675	1050997	65129	2183883	995665	19384	149986	115116	612374	3000	50639	39013	51151	29878801	1245721	1052665
35A	35A	42729	11958	151059	43225	67244	490043	1663174	173024	116919	61091	2868914	2184297	156399	11746	89275	1234450	8022	1596212	1342572	76906	1569498	648148	12039	85634	69196	597242	3481	24522	17925	52027	25807411	1473787	374842
23A	23A	44867	15493	124765	51366	69524	274999	1479625	133474	63437	24129	2843337	2155429	99476	15998	130431	1068079	8353	804806	259117	45605	843658	501895	6366	43329	40535	268405	3000	20936	12573	58358	9860376	2224407	435786
135A	135A	35777	11611	150266	194608	105338	663144	3464981	273549	143685	89059	4439975	3626860	253111	16206	202301	2503022	83574	2376376	1137423	65687	1662091	668727	35189	218519	257482	451828	3000	94110	29769	60653	10071297	1585340	560244
05A	05A	32368	13709	378835	203566	183129	669384	5111885	214589	260555	154146	12232347	8326709	460611	23371	516248	4266762	349591	6669209	1547569	187827	3749404	1048973	145285	1240138	1200819	1673450	3000	396763	70999	62222	16236546	2663988	1458908
47A	47A	33223	18012	223945	79641	85282	496078	1891424	134330	102802	54953	3685898	3190530	202126	161928	145146	1604371	13489	1777236	571594	72021	1643630	559138	8283	48292	49668	458921	4923	15440	20602	72096	11185204	2470456	464652
38A	38A	49184	7009	201747	55180	65484	521444	1850882	175743	121323	68054	3597518	2682419	277807	19593	197705	1506471	3000	2484033	1830418	90821	2542746	1861729	12197	82201	81618	1003537	3000	12941	22337	81899	17259958	1874979	799426
61A	61A	51820	9960	171213	185752	132152	362965	3070507	263504	138404	84630	4020492	3672684	340531	21440	678664	3325331	3000	4213853	1310840	62206	2452895	571254	17685	166050	165430	465168	3000	15034	40654	90188	8669641	1800701	1879529
143B	143B	28342	336186	106420	52786	52536	378300	1878199	129928	65296	53647	2664855	3086967	183885	79902	135785	35440	3000	1809897	696899	59193	1419196	570984	3000	4800	4247	475849	11509	3647	3000	3000	32934698	1221537	557610
51A	51A	44257	921576	82875	83060	72068	237981	1365008	133499	123594	75893	2713095	2116538	248482	10272	135847	306674	13536	1704997	1294467	88190	1935216	856720	5594	33796	26685	585599	41559	17559	6008	3000	35768564	1086490	470383
37A	37A	45960	95022	83543	39810	41679	196649	913522	112743	32793	17820	630432	650647	38217	60319	31304	11641	3000	172305	102729	16014	272225	108990	3000	3000	3000	39113	3000	3000	3000	3000	3095374	2317267	91525
86B	86B	34503	141046	43329	14533	19445	60498	356836	48266	15494	6916	420812	351049	15606	8816	52023	24633	3000	71459	24107	10784	72495	54792	3000	3000	3000	20475	3000	3256	3000	3000	3576095	2471013	170080
91A	91A	43313	313664	108931	38239	43417	274167	1062694	141325	70424	37246	2020053	1312630	124422	11456	164603	44490	3000	963646	582968	36393	960911	343955	5544	10036	6744	251773	27028	4193	3000	3000	35212783	1516118	569089
36A	36A	91513	430201	262602	61817	97802	502734	1834230	112179	154494	50262	7165977	4181454	126787	7923	59455	24719	3000	765643	418485	117184	866642	428202	3000	3461	3461	509882	7312	7312	3000	3000	6955135	1031310	193531
57A	57A	29056	84080	66332	28420	40398	221285	1070618	131888	65649	33066	1549842	1360224	74562	47096	53932	21005	3000	542560	724498	33567	1043445	169272	3000	3425	3425	232134	5710	3000	3000	3000	17962459	2108848	253331
30A	30A	37378	920682	111388	78052	85890	273010	1257375	119151	64339	28690	2281775	1542889	144816	65573	120334	64397	3000	920786	375014	38149	700685	761698	3000	6404	8115	199285	9781	3000	3000	3000	5113003	803613	281025
120A	120A	30147	69993	104518	58293	45114	278080	1365923	93258	39384	17136	1586145	1098820	92503	174667	60672	16104	3000	714864	409747	35614	595447	421355	3000	3000	3000	203098	3000	3000	3000	3000	6591944	1418355	205521
