Plant	Path	 1-Hexanal	Limonene*	E-beta.-Ocimene	 3(Z)-Hexen-1-ol-acetate 	 Isohexanol	 1-Hexanol	 3(Z)-hexenyl propanoate	 4(Z)-Hexenyl butanoate/ 3(Z)-Hexenyl-1-ol*	 2(E)-Hexenyl butanoate	 n-Hexyl butanoate	 Hexyl 2-methylbutanoate	 3(Z)-hexenyl ester*	 3(Z)-Hexenyl butanoate	 3(Z)-hexenyl valerate*	 3(Z)-Hexenyl isovalerate	 sesquiterpene*	  Linalooll	 Beta-caryophyllene*	 alpha-Duprezianene*	(E)-alpha-Bergamotene*	 beta.-Elemene	 3(Z)-Hexenyl caproate*	 4(E)-Hexenyl hexanoate	 5-Hexenyl hexanoate	 (E)-Hex-3-enyl (E)-2-methylbut-2-enoate*	(E)-beta-Famesene 	 alpha-Terpineol	 sesquiterpene RT 22.7 mixed with neighbor peak	 sesquiterpene RT 22.8	 sesquiterpene RT 23.0	 3(Z)-Hexen-1-ol trifluoroacetate*	 alpha -Farnesene mix with next peak	 sesquiterpene RT 23.8	 Sesquiphellandrene	 sesquiterpenoid RT 24.2	Benzyl acetone*	Nicotine*	 Benzyl alcohol*	 sesquiterpene RT27.3
250_126B_flower.txt	D:\user_data\data_gctd2\kepu6533\170214_AI_RIL_Flower-VOC\250_126B_flower.qgd	18254	117057	2628	24459	589542	113779	13849	240005	76567		8928	11330	14023	132159	15343	3451	45631	27846	37282	192572	6762	31324	2282	30006	25963		21604	1905	9658	10594	8509		3767	8681		14766	34091365	111127	40945
251_127B_flower.txt	D:\user_data\data_gctd2\kepu6533\170214_AI_RIL_Flower-VOC\251_127B_flower.qgd	25612	59330	266205	77580	384162	96525	54722	389078	38928	5722	15467	38182	36812	328913	94265	5066	25790	113578	143416	196733	12774	74620	12309	17530	103470		14474	2323	14511	12755	10204	18470	4761	9674		4992	40907636	59650	259555
252_128B_flower.txt	D:\user_data\data_gctd2\kepu6533\170214_AI_RIL_Flower-VOC\252_128B_flower.qgd	45819	104196	531288	40536	847811	162477	9071	403497	80414	4937	24469	20044	20070	455864	49333	3115	26309	61238	82662	123225	7786	60221	2942	26362	60729		11912	2197	14242	16082	11218	7216	3871	9046		32760	19072301	77574	169649
253_129B_flower.txt	D:\user_data\data_gctd2\kepu6533\170214_AI_RIL_Flower-VOC\253_129B_flower.qgd	54626	42442	1939	22362	198330	44001	7385	134971	53722	4135	8117	14241	15042	102000	9778	14250	18754	42149	57463	1349211	12676	27361	1372	9510	26360		9670	8678	62785	64499	19054		5506	15605		235966	784982	53296	132413
254_130B_flower.txt	D:\user_data\data_gctd2\kepu6533\170214_AI_RIL_Flower-VOC\254_130B_flower.qgd	22190	48495	215658	8295	333410	42522	8672	101309	32980	3073	11718	5674	12629	102524	16582	8461	15412	75717	96329	526491	9478	7164	2951	20734	27942		9567	4647	28267	31159	10223	41288	44357	8836		308838	716828	166652	161398
255_131B_flower.txt	D:\user_data\data_gctd2\kepu6533\170214_AI_RIL_Flower-VOC\255_131B_flower.qgd	24418	31357	807	10941	224391	45201	14514	166640	23685	954	7453	17769	14683	140588	24997	6934	15770	45008	57767	351267	15971	40189	3648	18333	62679		9735	5827	38610	47357	10365		8018	10678		29024	9362883	64669	125154
256_133B_flower.txt	D:\user_data\data_gctd2\kepu6533\170214_AI_RIL_Flower-VOC\256_133B_flower.qgd	45786	51958	142261	7206	260059	48738	12004	189313	27905	2432	4978	12005	14356	125051	15277	13844	23794	22077	25727	1002530	9334	27865	2054	9379	35811		11208	4537	23298	26109	11049		4008	15577		15729	5647420	156678	33463
257_134B_flower.txt	D:\user_data\data_gctd2\kepu6533\170214_AI_RIL_Flower-VOC\257_134B_flower.qgd	22087	50137	155702	48918	337763	128799	17513	259398	73884	5229	12518	20564	19213	111696	17717	7165	21353	41001	57305	301014	5507	40978	4100	14626	53047		18536	1488	12661	13786	11332			8162		1245	1845881	92354	93585
258_135B_flower.txt	D:\user_data\data_gctd2\kepu6533\170214_AI_RIL_Flower-VOC\258_135B_flower.qgd	26446	98463	356824	15132	510955	78542	3647	72782	25496	3340	7550	10017	8607	51463	8347	2226	30825	94879	126139	102183	10811	15419	674	28654	17114		15091	1285	8248	10283	6142	23677	24526	4756		19118	15252904	62496	168860
259_136B_flower.txt	D:\user_data\data_gctd2\kepu6533\170214_AI_RIL_Flower-VOC\259_136B_flower.qgd	15445	72485	1663	12945	284703	80561	8390	220724	79413	2455	13747	15936	14669	244973	16073	14300	25929	47064	59598	669571	9650	43989	1573	14323	48603		14641	4014	24505	31210	23574		2533	21881	4138	5578	380691	89548	61961
260_137B_flower.txt	D:\user_data\data_gctd2\kepu6533\170214_AI_RIL_Flower-VOC\260_137B_flower.qgd	25046	87095	1937	15621	301943	67269	12078	212496	69014	2885	458	8996	10429	95896	18459	6818	16675	26608	37966	151505	6825	30192	1616	8018	18437		15677	5728	21278	22629	11424	2259	5472	7538		10518	598277	79618	26022
261_138B_flower.txt	D:\user_data\data_gctd2\kepu6533\170214_AI_RIL_Flower-VOC\261_138B_flower.qgd	22924	34839	78347	7740	235974	50703	6165	98325	32927	898	1980	11027	10107	50173	6681	2336	17448	24195	32277	76593	5275	19926	534	15908	16117		10023	2817	15134	18198	2241	12385	3579	3634		14920	3556157	58015	35961
262_139B_flower.txt	D:\user_data\data_gctd2\kepu6533\170214_AI_RIL_Flower-VOC\262_139B_flower.qgd	21874	34101	164557	14545	318483	63353	10028	177808	28836	2243	6112	14041	13508	90679	11152	7093	19860	57198	68986	282464	7522	19428		13453	26971		13331	3427	22575	26190	5836	5784		7661	2528	5806	1963265	90656	67374
263_140B_flower.txt	D:\user_data\data_gctd2\kepu6533\170214_AI_RIL_Flower-VOC\263_140B_flower.qgd	18596	26612	165926	6955	188255	60152	12842	144605	33027	3547	6120	12442	12437	100025	7993	7255	16370	43469	50003	324505	10938	29210		17650	22993		15172	5862	32218	38891	9016	41008	6381	9268		7317	1610943	66583	60145
264_141B_flower.txt	D:\user_data\data_gctd2\kepu6533\170214_AI_RIL_Flower-VOC\264_141B_flower.qgd	53339	54190	1485	15123	178015	79587	8831	154127	26050	4532	5800	14262	13820	84230	5666	13925	22098	24093	29381	627910	6027	16101		12703	20361		14114	7821	53309	61411	16395		7648	19339		3064	9619278	106649	45408
265_142B_flower.txt	D:\user_data\data_gctd2\kepu6533\170214_AI_RIL_Flower-VOC\265_142B_flower.qgd	20310	53686	166058	6729	253560	76501	13664	235871	30557	1547	7985	15961	16122	145651	12985	3013	17877	20165	27282	119625	7161	22272		27248	23529		14434	2640	18015	24195	4656	10268	2635	4357		12671	919249	85437	22599
266_143B_flower.txt	D:\user_data\data_gctd2\kepu6533\170214_AI_RIL_Flower-VOC\266_143B_flower.qgd	32558	89832	258074	27437	475563	164723	14201	213440	98815	6041	19085	15559	15159	162710	23727	3150	24407	58488	69159	59754	1545	34078		13890	23107		15085	2978	14494	14894	8667	8818	6505	4761	1035	21979	20339462	107388	54113
267_144B_flower.txt	D:\user_data\data_gctd2\kepu6533\170214_AI_RIL_Flower-VOC\267_144B_flower.qgd	26751	68369	840	23413	466484	188613	13660	191024	65774	9159	27601	18129	18241	194491	29174	17348	25036	42944	58292	1038911	16468	50981	5013	19549	65030		13467	6573	42632	46075	29973	1505	9767	30914	9100	161297	25872222	66133	142321
268_145B_flower.txt	D:\user_data\data_gctd2\kepu6533\170214_AI_RIL_Flower-VOC\268_145B_flower.qgd	22038	57541	105848	5654	165496	49900	7176	114089	26495	2953	3779	11204	10771	55183	4835	5504	16692	49761	62362	137381	5355	15042		13863	11157		14265		10435	9704	4529	8672	3807	7202		13469	7080610	114662	56207
